"Ethereum Version","Num all files","Size all files (B)","Num code files (cpp, py, c, h, sh, sol, go, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram",
"go-ethereum-0.5.19","52","504432","33","404777","*","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","*",".go (19), .qml (8), .js (8), .png (6),  (3), .html (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.6.0","53","505775","34","406069","*","93","42","12","0.22641509433962265","67816","0.13408333745242448","*","90","41","10","0.29411764705882354","39284","0.09674217928480135","*",".go (20), .qml (8), .js (8), .png (6),  (3), .html (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.6.5","78","736653","43","493092","*","7267","2799","80","1.0256410256410255","734476","0.9970447415540288","*","4314","197","40","0.9302325581395349","491483","0.9967369172487082","*",".go (22), .qml (16), .png (14), .js (13), .html (5),  (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.6.6","78","737187","43","493264","*","89","65","10","0.1282051282051282","81885","0.11107765058255233","*","20","12","5","0.11627906976744186","35170","0.0713005611599468","*",".go (22), .qml (16), .png (14), .js (13), .html (5),  (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.6.7","78","737819","43","494023","*","65","58","11","0.14102564102564102","90956","0.12327684703158905","*","44","17","5","0.11627906976744186","35929","0.07272738313803204","*",".go (22), .qml (16), .png (14), .js (13), .html (5),  (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.6.8","79","733565","44","497863","*","1134","956","9","0.11392405063291139","61994","0.08451057506833069","*","235","62","6","0.13636363636363635","34278","0.06885026603704232","*",".go (23), .qml (16), .png (14), .js (13), .html (5),  (3), .css (2), .yml (1), .sh (1), .md (1)",
"go-ethereum-0.7.10","332","3138046","280","2662525","*","67745","1448","342","1.0301204819277108","3137924","0.9999611223034971","*","66524","470","278","0.9928571428571429","2661640","0.9996676087548474","*",".go (218), .json (29), .js (19), .qml (16), .png (15),  (13), .md (6), .html (6), .sh (3), .yml (2), .txt (2), .css (2), .cov (1)",
"go-ethereum-0.8.4","1301","181392937","1161","178784613","*","2655784","21333","1245","0.95695618754804","180229532","0.9935862717741871","*","2562975","5537","883","0.7605512489233419","172480679","0.9647400640680415","*",".go (610), .json (138),  (82), .h (77), .png (59), .cpp (56), .qml (53), .js (36), .se (32), .md (22), .yml (20), .sh (16), .html (16), .ttf (16), .markdown (13), .chain (9), .py (7), .c (7), .ini (6), .s (6), .txt (3), .css (2), .asm (2), .map (1), .opts (1), .cov (1), .in (1), .evm (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .mk (1), .java (1)",
"go-ethereum-0.8.5","1301","181393576","1161","178785252","*","60","39","13","0.009992313604919293","115509","0.0006367866081431682","*","59","38","12","0.0103359173126615","81448","0.000455563303398202","*",".go (610), .json (138),  (82), .h (77), .png (59), .cpp (56), .qml (53), .js (36), .se (32), .md (22), .yml (20), .sh (16), .html (16), .ttf (16), .markdown (13), .chain (9), .py (7), .c (7), .ini (6), .s (6), .txt (3), .css (2), .asm (2), .map (1), .opts (1), .cov (1), .in (1), .evm (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .mk (1), .java (1)",
"go-ethereum-0.9.18","1901","271012151","1740","267141058","*","538494","1183222","1711","0.900052603892688","251363190","0.9274978596808378","*","535985","390922","1259","0.7235632183908046","249607290","0.9343651322965113","*",".json (700), .go (686), .h (82),  (80), .png (59), .qml (54), .cpp (42), .md (26), .yml (24), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .txt (11), .html (11), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
